30.07.2025;TAR?HL? TALEP-TEDAR?K DURUM RAPORU;;;;TEDAR?K TÜRÜ;;S?PAR?? STATÜ;;;30.07.2025;TAR?HL? HEDEF-MAL?YET UYUM DURUMU;;;;;;
PROJE ADI;TALEP;TEDAR?K;VER?LEMEYEN;TED. %;SPOT;F?LO;TES?STE;GELECEK;YÜKLEND?;HEDEF ÜSTÜ;SEFER;HEDEF ALTI;SEFER;HEDEF;SEFER;HEDEFS?Z SEFER;
BUNGE LÜLEBURGAZ FTL;0;0;0;0,00%;0;0;0;0;0;?0,00;0;?0,00;0;?0,00;0;0;99
BUNGE D?LOVASI-REYSA?;0;0;0;0,00%;0;0;0;0;0;?0,00;0;?0,00;0;?0,00;0;0;99
BUNGE PALET;0;0;0;0,00%;0;0;0;0;0;?0,00;0;?0,00;0;?0,00;0;0;99
REKA FTL;0;0;0;0,00%;0;0;0;0;0;?0,00;0;?0,00;0;?0,00;0;0;99
EKSUN GIDA FTL;0;0;0;0,00%;0;0;0;0;0;?0,00;0;?0,00;0;?0,00;0;0;99
SARUHAN FTL;0;0;0;0,00%;0;0;0;0;0;?0,00;0;?0,00;0;?0,00;0;0;99
PEPS? FTL;2;1;1;50,00%;1;0;0;1;0;-?4.600,00;1;?0,00;0;?0,00;0;1;99
MUTLU MAKARNA SPOT FTL;0;0;0;0,00%;0;0;0;0;0;?0,00;0;?0,00;0;?0,00;0;0;99
TEK?RDA? UN FTL;0;0;0;0,00%;0;0;0;0;0;?0,00;0;?0,00;0;?0,00;0;0;99
AYDINLI MODA FTL;0;0;0;0,00%;0;0;0;0;0;?0,00;0;?0,00;0;?0,00;0;0;99
ADKOTURK FTL;3;3;0;100,00%;3;0;1;1;1;-?1.234,28;2;?0,00;0;?0,00;0;1;99
ADKOTURK FTL ENERJ? ?ÇECE??;0;0;0;0,00%;0;0;0;0;0;?0,00;0;?0,00;0;?0,00;0;0;99
SGS FTL;0;0;0;0,00%;0;0;0;0;0;?0,00;0;?0,00;0;?0,00;0;0;99
BSH FTL;0;0;0;0,00%;0;0;0;0;0;?0,00;0;?0,00;0;?0,00;0;0;99
ALTERNA GIIDA FTL;0;0;0;0,00%;0;0;0;0;0;?0,00;0;?0,00;0;?0,00;0;0;99
DERYA OF?S FTL;0;0;0;0,00%;0;0;0;0;0;?0,00;0;?0,00;0;?0,00;0;0;99
SAPRO FTL;0;0;0;0,00%;0;0;0;0;0;?0,00;0;?0,00;0;?0,00;0;0;99
MARMARA CAM FTL;0;0;0;0,00%;0;0;0;0;0;?0,00;0;?0,00;0;?0,00;0;0;99
FAK?R FTL;0;0;0;0,00%;0;0;0;0;0;?0,00;0;?0,00;0;?0,00;0;0;99
MODERN KARTON-N??ASTA;0;0;0;0,00%;0;0;0;0;0;?0,00;0;?0,00;0;?0,00;0;0;99
MODERN KARTON-PACKON;0;0;0;0,00%;0;0;0;0;0;?0,00;0;?0,00;0;?0,00;0;0;99
KÜÇÜKBAY TRAKYA;0;0;0;0,00%;0;0;0;0;0;?0,00;0;?0,00;0;?0,00;0;0;99
